Knygos pavadinimas,Autorius,Kaina €,Reitingas,Įvertinimų skaičius,Žanras
Vakar,Agota Kristof,8.99,4,4,Užsienio romanai
Palikimas,Miguel Bonnefoy,9.49,3,5,Užsienio romanai
Trys draugai,Erich Maria Remarque,9.79,4,23,Užsienio romanai
Genezė,Chris Carter,10.89,4,18,Užsienio romanai
Kaulų upė (Detektyvas Loganas),JD Kirk,8.69,4,3,Užsienio romanai
Tapatybė,Nora Roberts,8.69,3,16,Užsienio romanai
Pavogtos (Detektyvė Kima Stoun),Angela Marsons,8.69,4,3,Užsienio romanai
Laimingieji,Mark Edwards,8.69,4,10,Užsienio romanai
Pavojingos vietos (Lotė Parker),Patricia Gibney,7.59,4,7,Užsienio romanai
Itin protingos būtybės,Shelby Van Pelt,11.99,4,4,Užsienio romanai
Tolimi krantai,Kristin Hannah,9.79,3,14,Užsienio romanai
Vyšnia ant torto,Jessica Lemmon,4.95,4,0,Užsienio romanai
Akimirkos žavesys,Jessica Lemmon,4.95,4,0,Užsienio romanai
"Bučinys, pakeitęs viską",Jessica Lemmon,4.95,4,0,Užsienio romanai
Paliktoji (Lotė Parker),Patricia Gibney,7.69,5,4,Užsienio romanai
"Tai, kas niekada nesibaigia",Lucy Score,8.79,4,32,Užsienio romanai
Šaltu krauju,Robert Bryndza,8.79,4,10,Užsienio romanai
"Mieloji Dole: apie meilę, gyvenimą ir draugystę",Dolly Alderton,5.49,4,0,Užsienio romanai
Lobis,John Preston,12.09,2,3,Užsienio romanai
"MOTERIS IŠ KAIRO: pomirtinis gyvenimas, meilė ir žmogžudystė… Kiek šansų turime prieš kismetą – tai, ką arabai vadina likimu?",Dejan Tiago Stanković,13.99,4,6,Užsienio romanai
Su jausmais nejuokaujama,Susan Meier (Sjuza...,4.95,4,0,Užsienio romanai
Meilė lyg gaivaus oro gurkšnis,Susan Meier (Sjuza...,4.95,4,0,Užsienio romanai
Geriau nei sapnas,Susan Meier (Sjuza...,4.95,4,0,Užsienio romanai
Geriausiai suplanuotos vestuvės,Karen Booth (Karen...,3.29,4,0,Užsienio romanai
Pametę galvas dėl aistros,Joanne Rock (Džoen...,3.29,4,0,Užsienio romanai
Jis netikėjo meile,Dani Collins (Dani...,3.29,4,0,Užsienio romanai
Tūkstantis vaikino bučinių,Tillie Cole,7.69,4,24,Užsienio romanai
Trys seserys. Tarptautinio bestselerio nr. 1 „Aušvico tatuiruotojas“ autorės naujas romanas,Heather Morris,12.69,4,11,Užsienio romanai
Devyni Rouzės Napolitano gyvenimai,Donna Freitas,12.09,2,1,Užsienio romanai
"Ezra Slefas, kitas Nobelio literatūros premijos laureatas",Andrew Komarnyckyj,18.69,5,2,Užsienio romanai
