Knygos pavadinimas,Autorius,Kaina €,Reitingas,Įvertinimų skaičius,Žanras
Best Poems of the Brontë Sisters,Emily Bronte,3.29,4,0, Poezija/Drama/Ese
Selected Poems,Thomas Hardy,1.29,4,0, Poezija/Drama/Ese
The Two Gentlemen of Verona,William Shakespeare,1.29,3,0, Poezija/Drama/Ese
Troilus and Cressida,William Shakespeare,5.19,3,0, Poezija/Drama/Ese
King Richard II,William Shakespeare,3.89,4,0, Poezija/Drama/Ese
"Henry IV, Part II",William Shakespeare,5.19,4,0, Poezija/Drama/Ese
King John,William Shakespeare,3.89,3,0, Poezija/Drama/Ese
This Present Moment,Gary Snyder,19.49,4,0, Poezija/Drama/Ese
Tijuana Book of the Dead,Luis Urrea,22.19,4,0, Poezija/Drama/Ese
The Odes of Horace,Nezinomas autorius,9.09,4,0, Poezija/Drama/Ese
Application for Release from the Dream,Tony Hoagland,15.69,4,0, Poezija/Drama/Ese
Reconnaissance,Carl Phillips,14.39,4,0, Poezija/Drama/Ese
"Selfish, Shallow, and Self-Absorbed",Meghan Daum,18.29,4,0, Poezija/Drama/Ese
Questions of Travel,Elizabeth Bishop,13.69,4,0, Poezija/Drama/Ese
The Lost Lunar Baedeker,Mina Loy,20.89,4,0, Poezija/Drama/Ese
The Givenness of Things,Marilynne Robinson,13.69,4,0, Poezija/Drama/Ese
"The Moments, the Minutes, the Hours",Jill Scott,14.39,4,0, Poezija/Drama/Ese
Jersey Rain,Robert Pinsky,14.39,4,0, Poezija/Drama/Ese
My Feelings,Nick Flynn,15.69,4,0, Poezija/Drama/Ese
The Balloonists,Eula Biss,11.79,4,0, Poezija/Drama/Ese
Milk and Honey,Rupi Kaur,15.69,4,0, Poezija/Drama/Ese
Selected Poems of Corsino Fortes,Corsino Fortes,23.49,4,0, Poezija/Drama/Ese
Does Your House Have Lions?,Sonia Sanchez,23.49,4,0, Poezija/Drama/Ese
Heresies,Orlando Ricardo Menes,17.39,0,0, Poezija/Drama/Ese
The Arranged Marriage,Jehanne Dubrow,17.39,5,0, Poezija/Drama/Ese
Bright Dead Things,Ada Limon,28.89,4,0, Poezija/Drama/Ese
My Wicked Wicked Ways,Sandra Cisneros,16.79,4,0, Poezija/Drama/Ese
Elegy for a Broken Machine,Patrick Phillips,24.19,4,0, Poezija/Drama/Ese
Broken Glass,Arthur Miller,16.79,3,0, Poezija/Drama/Ese
Eliot: Poems,T. S. Eliot,13.39,4,0, Poezija/Drama/Ese
The Ink Dark Moon,"Ono No Komachi, Iz...",7.99,4,0, Poezija/Drama/Ese
Ultramarine,Raymond Carver,24.89,4,0, Poezija/Drama/Ese
Fires in the Mirror,Anna Deavere Smith,24.19,4,0, Poezija/Drama/Ese
Love and Other Ways of Dying,Michael Paterniti,7.99,4,0, Poezija/Drama/Ese
The Beauty,Jane Hirshfield,7.99,4,0, Poezija/Drama/Ese
Splitting an Order,Ted Kooser,21.59,4,0, Poezija/Drama/Ese
The Uses of the Body,Deborah Landau,21.59,4,0, Poezija/Drama/Ese
Stage Kiss,Sarah Ruhl,24.19,4,0, Poezija/Drama/Ese
Geography III,Elizabeth Bishop,16.99,4,0, Poezija/Drama/Ese
The Poetry of Yehuda Amichai,Yehuda Amichai,29.99,4,0, Poezija/Drama/Ese
Pop Sonnets,Erik Didriksen,2.69,4,0, Poezija/Drama/Ese
Prometheus Bound,Aeschylus,21.49,4,0, Poezija/Drama/Ese
News of the Universe,Robert Bly,24.89,4,0, Poezija/Drama/Ese
The Selected Poems of Donald Hall,Donald Hall,29.09,4,0, Poezija/Drama/Ese
"Something Bright, Then Holes",Maggie Nelson,18.19,4,0, Poezija/Drama/Ese
Julius Caesar,William Shakespeare,11.89,4,0, Poezija/Drama/Ese
Antigonick,Anne Carson,16.29,4,0, Poezija/Drama/Ese
Dirty Poem (Vol. 18)  (New Directions Poetry Pamphlets),Ferreira Gullar,15.69,4,0, Poezija/Drama/Ese
Selected Poems by C.P. Cavafy,C. P. Cavafy,58.29,4,0, Poezija/Drama/Ese
Poems,Elizabeth Bishop,20.89,4,0, Poezija/Drama/Ese
Insomnia: Poems,Linda Pastan,24.19,4,0, Poezija/Drama/Ese
Zone,Guillaume Apollinaire,26.19,4,0, Poezija/Drama/Ese
The Weary Blues,Langston Hughes,10.09,4,0, Poezija/Drama/Ese
Ahead of All Parting,Rainer Maria Rilke,24.89,5,0, Poezija/Drama/Ese
Felicity,Mary Oliver,14.79,4,0, Poezija/Drama/Ese
Infinite Citizen of the Shaking Tent,Liz Howard,27.59,4,0, Poezija/Drama/Ese
Conflict Resolution for Holy Beings: Poems,Joy Harjo,21.59,4,0, Poezija/Drama/Ese
Inferno,Dante Alighieri,18.89,4,0, Poezija/Drama/Ese
"Father Comes Home From the Wars (Parts 1, 2 & 3)",Suzan-Lori Parks,24.19,4,0, Poezija/Drama/Ese
Drum-Taps,Walt Whitman,23.49,4,0, Poezija/Drama/Ese
All That You've Seen Here Is God,"Sophocles, Aeschylus",18.79,4,0, Poezija/Drama/Ese
The Road Not Taken and Other Poems,Robert Frost,13.39,4,0, Poezija/Drama/Ese
Tartuffe,Jean-Baptiste Poqu...,21.39,4,0, Poezija/Drama/Ese
The Poetry of Pablo Neruda,Pablo Neruda,23.49,4,0, Poezija/Drama/Ese
The Complete Poetry,Maya Angelou,24.89,4,0, Poezija/Drama/Ese
Ten Windows,Jane Hirshfield,18.09,4,0, Poezija/Drama/Ese
This Old Man,Roger Angell,22.89,4,0, Poezija/Drama/Ese
Voyage of the Sable Venus,Robin Coste Lewis,22.89,4,0, Poezija/Drama/Ese
"Hines, A: Thug Poetry",Alan Hines,5.19,0,0, Poezija/Drama/Ese
"Newsom, D: Baby Shoes Blues",Doyle D Newsom,5.19,5,0, Poezija/Drama/Ese
"Schurk, N: All About Love and Then Some",Nicolette Schurk,5.19,0,0, Poezija/Drama/Ese
"Goswami, R: Moustached Poet",Rupam Goswami,6.49,4,0, Poezija/Drama/Ese
"Smith, L: Speak It",Lanetta O. Smith,5.19,0,0, Poezija/Drama/Ese
"Khilachand, K: Family Feelings of Little Tanie",Khily Khilachand,6.49,0,0, Poezija/Drama/Ese
"Palmer, A: Naked to the Wind",ALLYENE PALMER,5.19,2,0, Poezija/Drama/Ese
"Kanungo, T: Journey Within",Tarun Kanungo,6.49,0,0, Poezija/Drama/Ese
"Kumar, A: Hymns from the Heart",Asha Iyer Kumar,6.49,5,0, Poezija/Drama/Ese
"Shukla, A: Smile of Ages",Aastha Shukla,6.49,3,0, Poezija/Drama/Ese
"Balraj, A: Rhythms of Seasons","Anala L. Balraj, C...",3.89,5,0, Poezija/Drama/Ese
"Katayaprath, J: Ashes of Yester Years",Jyotsna P. Katayap...,6.49,5,0, Poezija/Drama/Ese
"Camacho, N: Brown Leaf",Norma I. Camacho,5.19,0,0, Poezija/Drama/Ese
"Wable, R: Hummings of the Heart",Reshma Wable,6.49,5,0, Poezija/Drama/Ese
Sanding Down This Rocking Chair on a Windy Night,Don McKay,14.09,4,0, Poezija/Drama/Ese
The Gardener's Son,Cormac McCarthy,17.59,3,0, Poezija/Drama/Ese
"Petreman, G: Primary Teachers Love These Poems",Gwen Petreman,5.19,5,0, Poezija/Drama/Ese
The Admirable Crichton,J. M. Barrie,1.29,4,0, Poezija/Drama/Ese
"Morris, G: Beyond the Middle Passage",Gerald Morris,5.19,0,0, Poezija/Drama/Ese
"Crenshaw, P: Dreams Seasoned to Their Journeys End",Patricia Crenshaw,5.19,0,0, Poezija/Drama/Ese
"Das, D: Reminiscences . .  . in Silent Couplets!",Dipankar Das,6.49,0,0, Poezija/Drama/Ese
Into the Woods (movie tie-in edition),Nezinomas autorius,22.89,4,0, Poezija/Drama/Ese
"Frierson, P: Centerpiece of Love",Pete Frierson,5.19,0,0, Poezija/Drama/Ese
"Boast, P: Ordinary People",Phil Boast,5.19,0,0, Poezija/Drama/Ese
"Collins, F: Poems of a Bag Lady",Foster Collins,5.19,0,0, Poezija/Drama/Ese
"Das, D: Reminiscences . . . in Silent Couplets!",Dipankar Das,6.49,0,0, Poezija/Drama/Ese
"Hong, H: Snow Garden",Hannah Hong,5.19,0,0, Poezija/Drama/Ese
Expressions from the Heart,Louise Schlittenhart,7.19,0,0, Poezija/Drama/Ese
"Barua, A: Build on a Dream",Arunav Barua,5.19,0,0, Poezija/Drama/Ese
"Wark, B: Of Course",Brian James Wark,12.39,0,0, Poezija/Drama/Ese
"Weidman, D: Into the Clear",Deanne Weidman,5.19,0,0, Poezija/Drama/Ese
"Bansal, A: Love Portions",Arunanshu Bansal,6.49,4,0, Poezija/Drama/Ese
"Mullons, G: Goodbye Late 20'S",Gloria Mullons,5.19,0,0, Poezija/Drama/Ese
"Chaudhary, S: Hues of Life",Samiksha Chaudhary,3.89,3,0, Poezija/Drama/Ese
"Sharma, K: Corsage",Kanchan Sen Sharma,6.49,0,0, Poezija/Drama/Ese
"K, N: Silence and Sound",Namitha K,3.89,4,0, Poezija/Drama/Ese
"Howard, L: Through My Eyes",Lela Howard,5.19,0,0, Poezija/Drama/Ese
"Sethi, A: Reflections - Vignettes of Life","Aditya Sethi, Sune...",3.89,0,0, Poezija/Drama/Ese
"Useless Landscape, or A Guide for Boys",D. A. Powell,15.69,4,0, Poezija/Drama/Ese
"Denny, L: Climbing up from the Depths",LOREN DENNY,5.19,0,0, Poezija/Drama/Ese
"Willis, D: Hunter's Moon",Dee S. Willis,5.19,5,0, Poezija/Drama/Ese
"Sajeev, M: Unlabelled Happy Woman",Minaxi Sajeev,3.89,3,0, Poezija/Drama/Ese
Hope Whispers,Nezinomas autorius,17.39,5,0, Poezija/Drama/Ese
Timon of Athens,William Shakespeare,3.89,3,0, Poezija/Drama/Ese
"Jayakumar, G: Blossoms in the Mist",Gayathri Jayakumar,6.49,5,0, Poezija/Drama/Ese
Small Victories,Anne Lamott,18.79,4,0, Poezija/Drama/Ese
Living Lessons,Nezinomas autorius,17.39,0,0, Poezija/Drama/Ese
"Jain, B: Letting Go",Babita Jain,6.49,0,0, Poezija/Drama/Ese
"Arenas, F: Scattered Pieces",F. Apollo M. Arenas,5.19,0,0, Poezija/Drama/Ese
"Sivakrishna, A: Songs of a Solitary Tree",Arun M Sivakrishna,6.49,4,0, Poezija/Drama/Ese
Unseen Hand,Adam Zagajewski,14.39,4,0, Poezija/Drama/Ese
"Thompson II, G: Embracing Love Through Poetry",George K. Thompson II,5.19,0,0, Poezija/Drama/Ese
Belleville,Amy Herzog,20.89,4,0, Poezija/Drama/Ese
The Poetic Edda,Nezinomas autorius,24.19,4,0, Poezija/Drama/Ese
"Lang, A: Fears and Tears",Alfred Lang,5.19,0,0, Poezija/Drama/Ese
The Enormous Room (New Edition),E. E. Cummings,20.29,4,0, Poezija/Drama/Ese
"Saifee, S: Mirage of the Mirror",Samina Saifee,6.49,0,0, Poezija/Drama/Ese
"Sandesh, S: Soul Fragments",Shilpa Sandesh,3.89,5,0, Poezija/Drama/Ese
"Lange, T: Lemon Meringue Façade",Ted Lange,5.19,0,0, Poezija/Drama/Ese
"Waingankar, S: Rhythms!",Sagar Waingankar,6.49,5,0, Poezija/Drama/Ese
"Olufemi, O: Strange Voice",Ola-Thomas Olufemi,6.49,0,0, Poezija/Drama/Ese
Dreams Of Anne Frank,Bernard Kops,19.79,3,0, Poezija/Drama/Ese
William Shakespeare's Sonnets,William Shakespeare,0.59,4,0, Poezija/Drama/Ese
"Wheeldon, L: Licorice Icecream",Lorraine Wheeldon,6.49,0,0, Poezija/Drama/Ese
"H., M: Bejeweled Poetry Iv",M. JEWEL H.,5.19,0,0, Poezija/Drama/Ese
"Singh, C: Sparkly Ways ...",Chitrangada Singh,6.49,0,0, Poezija/Drama/Ese
"Syed, A: Story of the Soul",Akhtar Naveed Syed,6.49,0,0, Poezija/Drama/Ese
"Venkateswaran, K: Lyrical Trio",K. S. Venkateswaran,6.49,0,0, Poezija/Drama/Ese
"Marcoli, R: Murder in a Child's Mind",Rita Marcoli,7.79,3,0, Poezija/Drama/Ese
"Ranieri, M: Metric Stanzas, Haiku En Tandem",Mary Alice Ranieri,5.19,0,0, Poezija/Drama/Ese
"Malayil, R: Musings",Ravindran K. Malayil,6.49,0,0, Poezija/Drama/Ese
"Singh, G: Turmoil of Emotions",Gp Singh,6.49,0,0, Poezija/Drama/Ese
"Kanjilal, A: Fateless 13",Anish Kanjilal,6.49,4,0, Poezija/Drama/Ese
"Sarkar, P: Antu",Pankaj Sarkar,6.49,0,0, Poezija/Drama/Ese
"Marshall, E: Sexing Kofhee",Elizabeth Marshall,6.49,3,0, Poezija/Drama/Ese
"Fletcher, R: Have You Felt His Touch?",Ronnie Fletcher,5.19,0,0, Poezija/Drama/Ese
"Pandit, V: Wisdom of Oneness",Vijayalakshmi Pandit,6.49,0,0, Poezija/Drama/Ese
The Poetry of James Beattie,James Beattie,4.99,0,0, Poezija/Drama/Ese
"Love, L: Five Misfits in Five Weeks",Lucky Love,5.19,5,0, Poezija/Drama/Ese
"Kshetrimayum, I: It No Longer Rains Like Before",Ibohal Kshetrimayum,6.49,0,0, Poezija/Drama/Ese
"Al-Shangiti, K: Glimpse Within",Khadija Al-Shangiti,5.19,5,0, Poezija/Drama/Ese
"Tracey Ed. D., W: Strands of Memory - Epilogue",William R. Tracey...,5.19,0,0, Poezija/Drama/Ese
"Lara, N: Mundo De Noé (Noe's World)",Noé Lara,5.19,0,0, Poezija/Drama/Ese
The Radiant Inventory,Christopher Dewdney,14.09,4,0, Poezija/Drama/Ese
"Deveaux, D: Limitless Thoughts",DeCarlo E. Deveaux,5.19,0,0, Poezija/Drama/Ese
"Florez, A: Tale of ""Jeannette""",Aysa Florez,5.19,0,0, Poezija/Drama/Ese
"Allen, S: Joyous Grace: My Soul'S Journey Started Here",Shernise Alexa Allen,5.19,0,0, Poezija/Drama/Ese
"Ume, J: Waking Moments",Jol Ume,6.49,0,0, Poezija/Drama/Ese
Ooga-Booga,Frederick Seidel,14.39,4,0, Poezija/Drama/Ese
The Sky Is Shooting Blue Arrows,Glenna Luschei,17.39,5,0, Poezija/Drama/Ese
A Selected History of Her Heart,Carole Simmons Oles,17.39,0,0, Poezija/Drama/Ese
"Lahser, C: Total Tripping",CARL LAHSER,5.19,0,0, Poezija/Drama/Ese
"Smithen, A: Tales from the Heart",Angella Smithen,5.19,0,0, Poezija/Drama/Ese
"Brooks, J: Restorative Power of Spirit","Joseph Brooks, She...",5.19,0,0, Poezija/Drama/Ese
The Rest of Love,Carl Phillips,14.39,4,0, Poezija/Drama/Ese
Water Street Days,David Donnell,14.09,2,0, Poezija/Drama/Ese
Settlements,David Donnell,14.09,4,0, Poezija/Drama/Ese
"Batra, R: Reflections",Ravi Batra,6.49,0,0, Poezija/Drama/Ese
"Goosby, M: It Ain't over Till the Math Lady Sings",MICHELLE WHITEHURS...,5.19,3,0, Poezija/Drama/Ese
"Lahser, C: Total Tripping",CARL LAHSER,5.19,0,0, Poezija/Drama/Ese
"Sampare, S: Dreamer",Sheila E. Sampare,7.79,0,0, Poezija/Drama/Ese
The Whale / A Bright New Boise,Samuel D. Hunter,24.19,4,0, Poezija/Drama/Ese
"Guha, A: Rhyme and Reason",Ananya S. Guha,3.89,0,0, Poezija/Drama/Ese
"Fu, J: Blessings Behind Life'S Trials",Jo Shan Fu,7.79,5,0, Poezija/Drama/Ese
"Quatroche, V: Got Abstract?",Vincent Quatroche,5.19,0,0, Poezija/Drama/Ese
"Morrell, R: Soldiers' Lament",Ruby C. Morrell,6.49,0,0, Poezija/Drama/Ese
"McCurry, P: Poem from My Dreams",Patsy J. McCurry,5.19,0,0, Poezija/Drama/Ese
"Behrani, P: Somewhere in My Heart",Prachi Behrani,6.49,0,0, Poezija/Drama/Ese
"Nelson, H: Come See About Us",Haneef Nelson,5.19,0,0, Poezija/Drama/Ese
"Bailey, C: Lyrical Gemstones",Charles C. Bailey,5.19,0,0, Poezija/Drama/Ese
"Dahlke, E: Angel Wings",EVELYN DAHLKE,5.19,0,0, Poezija/Drama/Ese
"Imam, A: Rainbow Basket",Ashar Imam,6.49,0,0, Poezija/Drama/Ese
Appalachia,Charles Wright,14.39,4,0, Poezija/Drama/Ese
"Zannis, A: Swan Songs",Alexandra Moss Zannis,5.19,5,0, Poezija/Drama/Ese
Anonymous: To You My Love,Anonymous,5.19,0,0, Poezija/Drama/Ese
Anonymous: To You My Love,Anonymous,5.19,0,0, Poezija/Drama/Ese
Anonymous: To You My Love,Anonymous,5.19,0,0, Poezija/Drama/Ese
"Uniyal, S: Tears of Blood",Sunil Uniyal,6.49,5,0, Poezija/Drama/Ese
George Seferis,George Seferis,152.39,4,0, Poezija/Drama/Ese
"Costantino, J: Brooklyn Pieces of My Life",JOSEPH J. COSTANTINO,5.19,5,0, Poezija/Drama/Ese
"Ahiabuike, S: Whispers of Love",SMITHSON BUCHI AHI...,12.39,0,0, Poezija/Drama/Ese
"Cantelon, C: Musings of T. C. Worthe",C. N. Cantelon,5.19,0,0, Poezija/Drama/Ese
Stray Birds,Rabindranath Tagore,0.59,4,0, Poezija/Drama/Ese
Songs of Kabir,Rabindranath Tagore,0.59,4,0, Poezija/Drama/Ese
"Webb, T: Poetry to God",Terry Webb,5.19,0,0, Poezija/Drama/Ese
"Vanhinkle, C: Carolyn'S Corner",Carolyn C. VanHinkle,5.19,0,0, Poezija/Drama/Ese
The Jew of Malta,Christopher Marlowe,1.29,4,0, Poezija/Drama/Ese
"Somanchi, K: Loose Sallies of the Mind",Krishnasarma Somanchi,5.19,0,0, Poezija/Drama/Ese
"Reisner, P: Forgive Me When I Falter",Phillip D. Reisner,5.19,0,0, Poezija/Drama/Ese
"Mehra, M: Somebody to Love",Mrinalini Patwardh...,3.89,0,0, Poezija/Drama/Ese
"Mallouk, R: Princess, the Process, the Peace, and Other Musi",Robert Vincent Mal...,5.19,0,0, Poezija/Drama/Ese
The No-Gun Man,L. Ron Hubbard,7.19,3,0, Poezija/Drama/Ese
"Adams, J: Recline Far Down",Jillian Adams,5.19,5,0, Poezija/Drama/Ese
"Fisher, E: Out of the Eggs of Ants",Edward Fisher,5.19,0,0, Poezija/Drama/Ese
"Stark, K: You",Kelsie Eileen Stark,5.19,5,0, Poezija/Drama/Ese
"Walker, M: Orange Crystal-Like Doorknob",Mike Hanmer Walker,5.19,5,0, Poezija/Drama/Ese
"Lal, R: Dew Drops",Rodrick Rajive Lal,6.49,4,0, Poezija/Drama/Ese
"Blue, D: Psychiatric Abuse Poetry.....",Desha Blue,5.19,0,0, Poezija/Drama/Ese
"Fay, L: Collection of Heartfelt Poems",Linda Fay,5.19,0,0, Poezija/Drama/Ese
A Master Builder,Henrik Ibsen,20.89,4,0, Poezija/Drama/Ese
Spring Awakening,Frank Wedekind,0.59,4,0, Poezija/Drama/Ese
"Rizvon, M: From My Heart to Yours",M. A. Q. Rizvon,6.49,4,0, Poezija/Drama/Ese
"Raipat, V: Poetry of Being",Vaidehi Raipat,3.89,0,0, Poezija/Drama/Ese
"Mabaso, J: Spot On",JABULANE ERIC MABASO,5.19,5,0, Poezija/Drama/Ese
"Davenport, G: Little B Rock Takes to Sail",Gregory Davenport,5.19,0,0, Poezija/Drama/Ese
"Amram, M: When Monkeys Feel Rhythms",Michael P Amram,5.19,4,0, Poezija/Drama/Ese
"H., M: Bejeweled Iii X Iv",M. JEWEL H.,5.19,5,0, Poezija/Drama/Ese
"Cornwall, R: Thy Strength Within Me",Ruth Jeremiah Corn...,5.19,0,0, Poezija/Drama/Ese
Taranum: Rhythmic Hues,Taranum,6.49,5,0, Poezija/Drama/Ese
The Poetry Of George Meredith - Volume 1,George Meredith,5.79,3,0, Poezija/Drama/Ese
The Poetry Of George Meredith - Volume 3,George Meredith,5.79,0,0, Poezija/Drama/Ese
The Poetry Of George Meredith - Volume 2,George Meredith,5.79,0,0, Poezija/Drama/Ese
The Poetry Of George Meredith - Volume 4,George Meredith,5.79,0,0, Poezija/Drama/Ese
"Weeping, R: Emotional Trendz",Romeo Weeping,5.19,0,0, Poezija/Drama/Ese
"Lewis, A: Solidarity Two",Andrew L. Lewis,5.19,0,0, Poezija/Drama/Ese
"Dutta, B: My Life and My Songs",Bibhakar Dutta,6.49,5,0, Poezija/Drama/Ese
The Poetry of Petrarch,Petrarch,14.39,4,0, Poezija/Drama/Ese
Killer Joe,Tracy Letts,20.29,4,0, Poezija/Drama/Ese
"Baroody Aka Christy Demaine, E: Simple Poems",Elizabeth Baroody...,5.19,0,0, Poezija/Drama/Ese
"Lahser, C: Total Tripping",CARL LAHSER,5.19,0,0, Poezija/Drama/Ese
"Pressley, E: Matter of Thoughts",EDNA PRESSLEY,5.19,0,0, Poezija/Drama/Ese
"Lahser, C: Total Tripping",CARL LAHSER,5.19,0,0, Poezija/Drama/Ese
"Blango, R: Spiritual Rhythms",Roberta R. Blango,5.19,0,0, Poezija/Drama/Ese
"Victor, R: Daydreaming the Idyll",Ryan Victor,6.49,5,0, Poezija/Drama/Ese
"Basu, P: Perhaps Love",Patrick Basu,5.19,0,0, Poezija/Drama/Ese
"Tinsley, M: Honey and Her Bee Boys",Marilyn L. Tinsley,5.19,0,0, Poezija/Drama/Ese
Wit,Margaret Edson,16.29,4,0, Poezija/Drama/Ese
"Muhammad, M: My Leaf",Maryam Muhammad,14.99,0,0, Poezija/Drama/Ese
"Boast, P: Ordinary People",Phil Boast,5.19,5,0, Poezija/Drama/Ese
"Critchlow, B: Poetry and Social Studies for All",Benjamin Uriah Cri...,5.19,0,0, Poezija/Drama/Ese
"Keith, R: Love Poems for That Special Lady",Roy L. Keith,5.19,0,0, Poezija/Drama/Ese
"Kouyate, M: Dear Parents",Malick Kouyate,5.19,0,0, Poezija/Drama/Ese
"Bell, C: Leadership Methodology",Cliff Bell,5.19,0,0, Poezija/Drama/Ese
"Gleaton-Hill, J: Golden Moments",Juliette Gleaton-Hill,5.19,5,0, Poezija/Drama/Ese
"Lange, T: Let Freedom Ring",Ted Lange,5.19,0,0, Poezija/Drama/Ese
"Kleia, H: I Am Proud",Hari Kleia,5.19,0,0, Poezija/Drama/Ese
The Poetry of Joanna Baillie,Joanna Baillie,5.79,4,0, Poezija/Drama/Ese
The Inspector,Nikolai Gogol,24.19,4,0, Poezija/Drama/Ese
"Mabaso, J: Through Thin and Thick",JABULANE ERIC MABASO,5.19,4,0, Poezija/Drama/Ese
"Harrell, R: Passion of the Feather Pen",RAYVON S. HARRELL,5.19,0,0, Poezija/Drama/Ese
"H., M: Bejeweled Poetry Ii",M. JEWEL H.,5.19,5,0, Poezija/Drama/Ese
Faulkner and Mystery,Nezinomas autorius,43.09,3,0, Poezija/Drama/Ese
"Lea, O: Found Bliss",Ocean Lea,5.19,5,0, Poezija/Drama/Ese
"Siegel, H: Discrete Thoughts Collected Poems",Herbert Siegel,5.19,0,0, Poezija/Drama/Ese
"Lucas, J: Wisteria",J. P. Lucas,5.19,0,0, Poezija/Drama/Ese
"Bernstein, H: All Simple Things but Time",Howard Bernstein,5.19,4,0, Poezija/Drama/Ese
"Pickle, O: Landlords' Lament",O. Wendell Pickle,5.19,0,0, Poezija/Drama/Ese
"Emmanuel, P: Wound of Humanity",Pastor Omojevwe Br...,5.19,0,0, Poezija/Drama/Ese
"Agarwal, M: Bedtime Vignettes",M K Agarwal,6.49,4,0, Poezija/Drama/Ese
"Wehmeyer, M: Love, Life, and the Lord",Marion Wehmeyer,5.19,0,0, Poezija/Drama/Ese
"Wehmeyer, M: Life, Liberty, and the Lord",Marion Wehmeyer,5.19,0,0, Poezija/Drama/Ese
"Lawal, B: Surge of Silence",Bolami Lawal,5.19,0,0, Poezija/Drama/Ese
"Colavito, M: Sentiments",Michael Colavito,5.19,0,0, Poezija/Drama/Ese
"Lamarche, R: I  Borrowed  David's  Harp-Contemporary Psalms",Rebecca Lamarche,5.19,0,0, Poezija/Drama/Ese
The Great God Pan,Amy Herzog,22.89,4,0, Poezija/Drama/Ese
"Bures, S: Poems of Pure Love for Life",Sherri Lynn Bures,5.19,0,0, Poezija/Drama/Ese
"Walsh, B: Life, Love, Laughter, and Tears",Barbara G. Walsh,5.19,0,0, Poezija/Drama/Ese
Selections from the Notebooks Of Edward Bond,Edward Bond,92.09,4,0, Poezija/Drama/Ese
Selections from the Notebooks Of Edward Bond,Edward Bond,92.09,0,0, Poezija/Drama/Ese
Selections from the Notebooks Of Edward Bond,Edward Bond,92.09,0,0, Poezija/Drama/Ese
"Bauer, J: Drawn Parallels",JoAnne Bauer,5.19,0,0, Poezija/Drama/Ese
"Tetlock, K: This Land, These Waters",Kathy Tetlock,5.19,3,0, Poezija/Drama/Ese
"H., M: Bejeweled Poetry",M. JEWEL H.,5.19,5,0, Poezija/Drama/Ese
"Schroeder, F: Galleon Moon",Frank Schroeder,5.19,0,0, Poezija/Drama/Ese
"Myler, G: Through the Eye of the Needle",Glade A. Myler,5.19,0,0, Poezija/Drama/Ese
R.U.R.,Karel Capek,1.29,4,0, Poezija/Drama/Ese
"Wallace, M: Poems Are My Love",Myles W. Wallace,5.19,0,0, Poezija/Drama/Ese
"King, T: What Fool Would Challenge Shakespeare?",T. J. King,5.19,0,0, Poezija/Drama/Ese
Early Thoughts of a Young Man,Philip J. Sipkov,1.59,5,0, Poezija/Drama/Ese
"Foster, H: Way Home",Harris David Foster,5.19,0,0, Poezija/Drama/Ese
The Theban Plays,Sophocles,26.19,4,0, Poezija/Drama/Ese
"Lange, T: Four Queens - No Trump",Ted Lange,5.19,5,0, Poezija/Drama/Ese
"Oakes, W: Match of Minds: Electronic Affair",Willow Oakes,5.19,0,0, Poezija/Drama/Ese
"Mbayi, T: Infinite Love",THERESE NDAYA MBAYI,6.49,0,0, Poezija/Drama/Ese
"Crawford Jr., J: Life and Inspirational Poetry",John Robert Crawfo...,5.19,4,0, Poezija/Drama/Ese
"David, P: Meditations",Patricia A. David,5.19,0,0, Poezija/Drama/Ese
"Lancer Ph. D., L: Walk from the Sea",Laurel Lorraine La...,5.19,0,0, Poezija/Drama/Ese
Umasankar: Life Through a Prism,Umasankar,5.19,5,0, Poezija/Drama/Ese
"Tan, C: Greatest Love",Caroline Tan,6.49,0,0, Poezija/Drama/Ese
"Boast, P: Ordinary People",Phil Boast,5.19,5,0, Poezija/Drama/Ese
"Boast, P: Ordinary People",Phil Boast,5.19,5,0, Poezija/Drama/Ese
"Boast, P: Ordinary People",Phil Boast,5.19,5,0, Poezija/Drama/Ese
"Boast, P: Ordinary People",Phil Boast,5.19,5,0, Poezija/Drama/Ese
"Parrilla, J: God, the Heart, and the Darkness",John Parrilla,7.79,0,0, Poezija/Drama/Ese
Ask Me,William Stafford,14.99,4,0, Poezija/Drama/Ese
"Samyn, D: Box a Room a Place to Dream",DENISE SAMYN,5.19,0,0, Poezija/Drama/Ese
Sonnets to Orpheus and Duino Elegies,Rainer Maria Rilke,4.69,4,0, Poezija/Drama/Ese
"Murchison, J: Melodious Verse",Josehf Lloyd Murch...,5.19,5,0, Poezija/Drama/Ese
"Boyden, C: Poems from the Heart",C. D. Boyden,6.49,0,0, Poezija/Drama/Ese
"Truss, G: Poems of the Lord",GERALD M. TRUSS,5.19,0,0, Poezija/Drama/Ese
"Stone, R: Poetically Licentious",Raymond Peter Stone,5.19,0,0, Poezija/Drama/Ese
"Sarzin-Borrillo, E: House of Gathering",Erica Sarzin-Borrillo,5.19,5,0, Poezija/Drama/Ese
Manjusha: Magic of Divine Love,Manjusha,6.49,0,0, Poezija/Drama/Ese
"Ahmed, S: Staging of Witchcraft and a ""Spectacle of Strangen",Shokhan Rasool Ahmed,6.49,5,0, Poezija/Drama/Ese
"Johnson, T: Words of Inspiration Sister to Sister",Tonya White Johnson,5.19,5,0, Poezija/Drama/Ese
